FILENAME;ID;START_POS;IS_HEX;TEXT_ORIGINAL;TEXT_LITERAL_ENGLISH;TEXT_CONVERTED_ENGLISH
FL1_2.MES;15;0x306;Y;A6 AA;;
FL1_2.MES;16;0x308;N;［レイラ］・・・・・・・・・・・・。;;
FL1_2.MES;17;0x32C;Y;A6 AA;;
FL1_2.MES;18;0x32E;N;［レイラ］・・・・・・・・・・・・。;;
FL1_2.MES;19;0x352;Y;A6 AA;;
FL1_2.MES;20;0x354;N;［レイラ］・・・そう、彼女がステロイドにさらわれて・・・気の毒に・・・。;[Layla] ... Yes, I was sorry for her being kidnapped by steroids.;
FL1_2.MES;21;0x39C;Y;A6 AA;;
FL1_2.MES;22;0x39E;N;［レイラ］そういえば、ちょっと前に羽の生えたステロイドの集団が女の子を連れて北の方に飛んで行くのを見たわ。;[Layla] Speaking of which, I saw a group of winged steroids flying north with a girl.;
FL1_2.MES;23;0x408;Y;A6 AA;;
FL1_2.MES;24;0x40A;N;［レイラ］あれはきっと北の山脈を越えて来たに違いないわね。ここに現れるステロイドは、みんなあそこからくるって言われてるのよ。;[Layla] It must have crossed the northern mountains. The steroids that appear here are all said to come from there.;
FL1_2.MES;25;0x486;Y;A6 AA;;
FL1_2.MES;26;0x488;N;［レイラ］きっと、あそこにはステロイドの巣か何かがあるんだわ。そこにはきっとステロイドの子供がいてお母さんがさらってきた女の子を餌に・・・。;[Layla] I'm sure there's a steroid nest or something over there. I'm sure there's a steroid kid there, and her mother feeds her on a girl ...;
FL1_2.MES;27;0x514;Y;A6 AA;;
FL1_2.MES;28;0x516;N;［レイラ］・・・・・・・・・・・・。;;
FL1_2.MES;29;0x53A;Y;A6 AA;;
FL1_2.MES;30;0x53C;N;［レイラ］ご、ごめんなさい・・・餌じゃなくて、きっとステロイド達のなぐさみ者に・・・。;[Layla] I'm sorry ... I'm sorry for the steroids, not the food ...;
FL1_2.MES;31;0x592;Y;A6 AA;;
FL1_2.MES;32;0x594;N;［レイラ］ご、ご、ごめんなさい。今のはほんの冗談で・・・きっとあなたの彼女は無事よ・・・うん、無事にきまっているわ・・・それ意外に考えられないわ。;[Layla] I'm sorry. It's just a joke now ... I bet your girlfriend is okay ... Yeah, it's safe ... I can't think of it unexpectedly.;
FL1_2.MES;33;0x626;Y;A6 AA;;
FL1_2.MES;34;0x628;N;［レイラ］また、そんな恐い顔しないでよ！本当に冗談だったんだから。;[Layla] Don't look like that again! It was really a joke.;
FL1_2.MES;35;0x66A;Y;A6 AA;;
FL1_2.MES;36;0x66C;N;［レイラ］えっ！？北の山脈に行きたいですって！？・・・それは危険だわ。;[Layla] Eh! ? I want to go to the northern mountains! ? ... it's dangerous.;
FL1_2.MES;37;0x6B2;Y;A6 AA;;
FL1_2.MES;38;0x6B4;N;［レイラ］悪い事を言わないわ、やめときなさい。あそこにはステロイドがいっぱいいるっていうし・・・。;[Reira] Don't say bad things, stop it. There are so many steroids over there ...;
FL1_2.MES;39;0x716;Y;A6 AA;;
FL1_2.MES;40;0x718;N;［レイラ］それでも行きたいですって！？・・・うらやましいわあ、よっぽど彼女の事を愛しているのね・・・あーあ、私もそんな彼氏がほしいなあ;[Layla] Still want to go! ? I'm jealous, I love her so much ... Ah, I want that boyfriend too;
FL1_2.MES;41;0x7A0;Y;A6 AA;;
FL1_2.MES;42;0x7A2;N;［レイラ］え？そんな事より、何か知っている事があれば教えてほしいですって？;[Reira] Eh? Rather than that, would you like to know anything you know?;
FL1_2.MES;43;0x7EC;Y;A6 AA;;
FL1_2.MES;44;0x7EE;N;［レイラ］えーと・・・そうそう、北の山脈に続く道はステロイドの進入を防ぐためにみんな封鎖されちゃってるらしいの。;[Layla] Well ... yes, it seems that the roads to the northern mountains have been blocked to prevent steroids from entering.;
FL1_2.MES;45;0x85E;Y;A6 AA;;
FL1_2.MES;46;0x860;N;［レイラ］だから少し遠まわりして、南のはずれにある洞窟を通らないと行けないから気を付けたわうがいいわね。;;
FL1_2.MES;47;0x8C8;Y;A6 AA;;
FL1_2.MES;48;0x8CA;Y;99 18 02 63 2C 12 7D 2C 9D 08 02 63 12 3D 08 02 5D 11 3D 26 7B ;Not sure what this does as there are no embedded image file or animation file names.;
FL1_2.MES;49;0x8DF;N;［レイラ］そういえば、南の洞窟の近くにも泉があるって聞いたことがあるわ。;[Layla] By the way, I've heard that there is a spring near the southern cave.;
FL1_2.MES;50;0x927;Y;A6 AA;;
FL1_2.MES;51;0x929;N;［レイラ］南の洞窟は遠いけど、がんばってね・・・あなただったらきっと彼女を救えるわよ。;[Layla] The cave in the south is far away, but do your best ... you can save her.;
FL1_2.MES;52;0x97F;Y;A6 AA;;
FL1_2.MES;53;0x981;Y;7D 2C 9D 08 02 63 12 3D 08 02 5D 12 3D 26 ;Not sure what this does as there are no embedded image file or animation file names.;
FL1_2.MES;54;0x990;N;［レイラ］北の山脈に行ってきたんでしょ？・・・すごいわあ。;[Leila] You went to the mountains in the north, right? ... wow.;
FL1_2.MES;55;0x9CA;Y;A6 AA;;
FL1_2.MES;56;0x9CC;Y;7D 7D;File footer.;
